car_model,price,year_model,kms
Kia Rio 1.4 Vibrant Hb 5 p,$65.000.000,2022,39.000
Kia Rio 1.4 5 p,$36.000.000,2013,105.000
Kia Rio 1.2,$48.000.000,2016,54.000
Kia Rio 1.25 5 p,$46.000.000,2016,90.000
Kia Rio 1.5 Stylus,$24.500.000,2012,73.666
Kia Rio 1.4 Sc Hb,$47.000.000,2018,55.000
Kia Rio 1.4 Vibrant Hb 5 p,$70.000.000,2023,7.000
Kia Rio 1.4 4 p,$27.000.000,2012,244.000
Kia Rio R 1.25,$50.000.000,2017,80.000
Kia Rio 1.6 4 p,$27.000.000,2009,126.000
Kia Rio 1.4 Zenith Hb 5 p,$59.500.000,2019,50.700
Kia Rio 1.4 4 p,$43.900.000,2014,71.500
Kia Rio 1.5 Stylus,$30.000.000,2016,65.000
Kia Rio 1.4,$59.000.000,2021,52.000
Kia Rio 1.4 5 p,$42.000.000,2014,81.000
Kia Rio 1.4 Zenith Hb 5 p,$60.000.000,2019,61.500
Kia Rio 1.5 Stylus,$30.000.000,2016,81.000
Kia Rio Spice R Summa 1.2,$50.000.000,2017,75.000
Kia Rio 1.4 Vibrant Aut,$78.000.000,2024,3.800
Kia Rio 1.5 Stylus 4 p,$19.800.000,2009,139.000
Kia Rio 1.4,$65.000.000,2020,24.000
Kia Rio R 2016,$41.900.000,2016,115.000
Kia Rio R Sedan,$42.000.000,2016,115.000
Kia Rio 1.4 Vibrant Hb 5 p,$60.000.000,2020,225.000
Kia Rio 1.4 4 p 109 hp,$40.000.000,2012,76.494
Kia Rio Zenit,$61.500.000,2019,62.559
Kia Rio Spice,$38.700.000,2012,98.100
Kia Rio 1.4 4 p,$36.500.000,2012,1
Kia Rio 1.2 5 p,$38.200.000,2014,120.000
Kia Rio 1.4 5 p,$37.000.000,2013,111.000
Kia Rio 1.2 4 p,$38.000.000,2014,100.000
Kia Rio 1.4 Vibrant Mt,$62.500.000,2021,35.000
Kia Rio 1.4 4 p,$35.000.000,2013,143.323
Kia Rio R 1.25,$46.500.000,2017,82.300
Kia Rio 1.4 4 p,$35.500.000,2013,99.000
Kia Rio 1.6 4 p,$27.700.000,2011,120.000
Kia Rio Sedán Río Ub Ex,$42.000.000,2016,132.000
Vendo Hermoso Kia Río Ub Ex 2014 Full Equipo,$37.000.000,2014,130.000
Kia Rio Sedán,$44.000.000,2013,70.100
Kia Rio 1.5 Stylus,$23.999.000,2012,115.620
Kia Rio 1.4,$51.800.000,2018,80.500
Kia Rio Spice Kia Rio Spice,$35.500.000,2012,85.600
Kia Rio 1.5 Stylus,$27.000.000,2016,116.000
Kia Rio 1.5 Rs Hb,$18.900.000,2005,168.000
Kia Rio 1.4 Vibrant Mt,$60.000.000,2020,25.500
Kia Rio 1.4 Vibrant Hb 4 p,$66.200.000,2022,20.000
Kia Rio Spice Rio Ub Ex,$37.000.000,2014,120.000
Kia Rio 1.25,$54.000.000,2017,55.807
Kia Rio 1.4 Vibrant Hb 5 p,$61.000.000,2019,28.000
Kia Rio Spice Hb,$44.800.000,2016,67.900
Kia Rio 1.2 4 p,$41.500.000,2014,108.000
Kia Rio Spice 1.2,$41.900.000,2015,88.000
Kia Rio 1.25,$38.500.000,2017,75.000
Kia Rio 1.4 5 p,$40.500.000,2013,116.255
Kia Rio 1.4 Vibrant Hb 5 p,$61.000.000,2019,57.373
Kia Rio 1.4 5 p,$25.000.000,2011,150.000
Kia Rio 1.25,$55.000.000,2018,55.000
Kia Rio 1.25 5 p,$41.000.000,2016,99.500
Kia Rio 1.4 Vibrant Hb 5 p,$68.000.000,2022,12.000
Kia Rio 1.25 5 p,$47.000.000,2016,55.000
Kia Rio R Automático,$45.000.000,2016,108.000
Kia Rio 1.4 5 p,$40.900.000,2013,116.000
Kia Rio 1.4 4 p,$27.500.000,2011,145.326
